timestamp,open,high,low,close,volume
2026-03-09,57288.72000000,57729.40000000,57172.07000000,57666.91000000,15.17192957
2026-03-08,58015.44000000,58829.57000000,56865.56000000,57278.91000000,254.05463821
2026-03-07,58673.88000000,59051.80000000,57673.29000000,58004.11000000,174.53699323
2026-03-06,61113.48000000,61486.44000000,58426.60000000,58677.65000000,429.66402131
2026-03-05,62489.86000000,63398.50000000,61000.00000000,61095.39000000,482.98244037
2026-03-04,58824.82000000,63739.65000000,58120.20000000,62470.16000000,739.54552214
2026-03-03,58865.07000000,59529.48000000,57132.00000000,58824.67000000,445.73179761
2026-03-02,55952.66000000,59995.00000000,55787.77000000,58855.17000000,442.89564403
2026-03-01,56778.12000000,57787.15000000,55220.99000000,55947.58000000,458.74128813
2026-02-28,55770.45000000,57449.00000000,53431.70000000,56782.88000000,549.24971553
2026-02-27,57207.13000000,57806.11000000,55006.95000000,55805.83000000,395.54564495
2026-02-26,57566.39000000,58282.22000000,56437.40000000,57211.98000000,315.19634165
2026-02-25,54436.79000000,59300.00000000,54279.09000000,57562.16000000,478.72237494
2026-02-24,54828.96000000,55120.49000000,53126.00000000,54433.48000000,427.15496116
2026-02-23,57173.43000000,57223.01000000,54194.45000000,54829.79000000,518.51985622
2026-02-22,57700.70000000,57937.36000000,57027.22000000,57160.86000000,134.54885258
2026-02-21,57725.26000000,58311.37000000,57286.62000000,57698.09000000,129.71679968
2026-02-20,56918.94000000,58064.99000000,56476.79000000,57702.19000000,396.99425152
2026-02-19,56383.90000000,57094.28000000,55863.00000000,56924.92000000,382.59378482
2026-02-18,56958.61000000,57853.92000000,55876.13000000,56383.07000000,348.95650881
2026-02-17,58134.43000000,58450.21000000,56411.00000000,56970.34000000,264.85701472
2026-02-16,58018.68000000,59123.90000000,56776.33000000,58129.26000000,295.94105941
2026-02-15,58927.80000000,59949.48000000,57362.37000000,58005.29000000,279.91582798
2026-02-14,58020.63000000,59556.79000000,57925.08000000,58919.38000000,241.17663685
2026-02-13,55807.02000000,58500.00000000,55492.39000000,58055.38000000,465.88197745
2026-02-12,56478.14000000,57537.16000000,54895.20000000,55798.66000000,585.68026511
2026-02-11,57903.84000000,58224.76000000,55417.20000000,56470.73000000,522.64921951
2026-02-10,58916.63000000,59212.16000000,57005.14000000,57921.16000000,418.72632822
2026-02-09,59542.02000000,60427.34000000,57329.14000000,58909.66000000,553.45940328
2026-02-08,58788.39000000,61249.00000000,58416.88000000,59548.04000000,453.36356699
2026-02-07,59831.49000000,60799.64000000,57105.48000000,58766.82000000,426.09678123
2026-02-06,53356.56000000,60828.69000000,51001.85000000,59845.34000000,1558.46203984
2026-02-05,61869.55000000,62000.00000000,52815.00000000,53360.00000000,1925.30859236
2026-02-04,64062.67000000,65051.03000000,60750.00000000,61877.38000000,579.46828921
2026-02-03,66734.70000000,67044.21000000,61749.26000000,64070.32000000,563.81557369
2026-02-02,64919.82000000,67240.06000000,62822.01000000,66716.23000000,708.54465788
2026-02-01,66591.41000000,67163.88000000,63917.27000000,64919.82000000,666.23079172
2026-01-31,71016.13000000,71032.69000000,63936.93000000,66590.16000000,569.10333668
2026-01-30,70642.62000000,71189.50000000,67889.97000000,71016.32000000,536.83587523
2026-01-29,74471.56000000,74534.79000000,69629.12000000,70670.45000000,490.52759086
2026-01-28,74153.12000000,75800.00000000,73965.18000000,74482.17000000,250.93744720
2026-01-27,74336.46000000,74815.42000000,72810.00000000,74158.85000000,227.48668926
2026-01-26,73018.25000000,74798.99000000,72873.90000000,74318.56000000,265.02762130
2026-01-25,75379.01000000,75468.30000000,72354.84000000,73015.02000000,299.84831162
2026-01-24,75710.09000000,75978.69000000,75310.26000000,75381.27000000,67.05792813
2026-01-23,76141.00000000,77329.29000000,75310.38000000,75692.81000000,194.96942800
2026-01-22,76593.60000000,77304.21000000,75422.93000000,76129.44000000,166.98003218
2026-01-21,75331.14000000,77364.86000000,74480.00000000,76590.15000000,309.53228122
2026-01-20,79544.54000000,79763.01000000,74910.00000000,75323.05000000,362.02604589
2026-01-19,80512.74000000,80512.74000000,79104.35000000,79525.91000000,181.78485865
2026-01-18,82074.04000000,82437.25000000,80514.94000000,80573.83000000,107.43279173
2026-01-17,82355.95000000,82475.10000000,81929.02000000,82086.23000000,70.47534685
2026-01-16,82362.35000000,82570.17000000,81319.28000000,82354.75000000,152.51860390
2026-01-15,83269.20000000,83702.84000000,81932.87000000,82354.35000000,252.13880899
2026-01-14,81908.15000000,84100.00000000,81136.63000000,83265.52000000,316.68988670
2026-01-13,78186.77000000,82749.00000000,78001.59000000,81907.01000000,312.16605586
2026-01-12,78209.24000000,79264.68000000,77067.54000000,78170.25000000,249.96900704
2026-01-11,77785.75000000,78372.67000000,77498.11000000,78210.60000000,120.83945484
2026-01-10,77829.99000000,78036.90000000,77649.54000000,77784.96000000,59.60196610
2026-01-09,78120.87000000,79055.78000000,76955.38000000,77826.09000000,354.48810352
2026-01-08,78181.43000000,78489.74000000,76526.54000000,78116.51000000,231.60875804
2026-01-07,80213.05000000,80213.05000000,77586.01000000,78163.62000000,224.32970884
